group,shape,mode,ep0,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
stranger,strange_0,GP,0.6931158900260925,0.19215910136699677,0.15870976448059082,0.14262032508850098,0.1336393505334854,0.12720662355422974,0.12348642200231552,0.11944551020860672,0.11705613136291504,0.11481651663780212,0.1139635220170021
stranger,strange_0,spec-B,0.5725625157356262,0.1802024394273758,0.14620311558246613,0.13469558954238892,0.12613297998905182,0.12084729224443436,0.116722971200943,0.1135375052690506,0.11182640492916107,0.11003589630126953,0.10856237262487411
stranger,strange_1,scratch,0.49151211977005005,0.2812291085720062,0.259989470243454,0.24436286091804504,0.22428932785987854,0.20949217677116394,0.19450631737709045,0.18393927812576294,0.17341619729995728,0.16704900562763214,0.15955829620361328
stranger,strange_1,GP,0.5767374634742737,0.16967956721782684,0.14087270200252533,0.1278221160173416,0.11807426065206528,0.11299873143434525,0.10941047966480255,0.10648075491189957,0.10437971353530884,0.10321301221847534,0.10128079354763031
stranger,strange_1,spec-B,0.5371077060699463,0.17102237045764923,0.14110609889030457,0.1277143806219101,0.11868135631084442,0.11275795102119446,0.10873066633939743,0.10616865009069443,0.10392855852842331,0.102732352912426,0.101063072681427
stranger,strange_2,scratch,0.5250892043113708,0.30803611874580383,0.29201993346214294,0.26109567284584045,0.24531427025794983,0.22689367830753326,0.2089337855577469,0.1990353763103485,0.18737737834453583,0.1793028563261032,0.17331859469413757
stranger,strange_2,GP,0.6785162687301636,0.1848716139793396,0.1558067351579666,0.14309468865394592,0.13433857262134552,0.12984903156757355,0.12486184388399124,0.1224021390080452,0.1203281506896019,0.11856013536453247,0.11748625338077545
stranger,strange_2,spec-C,0.6247465014457703,0.17951655387878418,0.15118809044361115,0.13684606552124023,0.13087676465511322,0.12529981136322021,0.12169652432203293,0.11894586682319641,0.11696585267782211,0.11497984081506729,0.11368116736412048
stranger,strange_3,scratch,0.4800596535205841,0.30861857533454895,0.28413572907447815,0.260006844997406,0.2422979325056076,0.2279832661151886,0.2079436331987381,0.19361844658851624,0.18313546478748322,0.17449624836444855,0.16795113682746887
stranger,strange_3,GP,0.586662769317627,0.18531093001365662,0.1528426706790924,0.13959768414497375,0.12921884655952454,0.12234324961900711,0.11861594766378403,0.11539215594530106,0.11303366720676422,0.11191099137067795,0.11033597588539124
stranger,strange_3,spec-B,0.5781728625297546,0.17593494057655334,0.1466924399137497,0.1334332525730133,0.12509605288505554,0.1190279871225357,0.11426136642694473,0.11156239360570908,0.1095755472779274,0.10817769169807434,0.10675213485956192
stranger,strange_4,scratch,0.492460161447525,0.27804121375083923,0.2618728578090668,0.24666205048561096,0.2237340658903122,0.2111309915781021,0.19662517309188843,0.18347540497779846,0.17287784814834595,0.16622240841388702,0.15902931988239288
stranger,strange_4,GP,0.5843076109886169,0.1701267510652542,0.1422881782054901,0.1290617138147354,0.11999363452196121,0.11534076929092407,0.11169614642858505,0.10900980234146118,0.10721167922019958,0.10597486793994904,0.10455338656902313
stranger,strange_4,spec-A,0.5843076109886169,0.16825146973133087,0.1410645991563797,0.12734870612621307,0.12155257165431976,0.11521681398153305,0.11158283054828644,0.10945804417133331,0.10738581418991089,0.10629607737064362,0.1048402190208435
stranger,strange_5,scratch,0.45746028423309326,0.2936486303806305,0.27410703897476196,0.2616972327232361,0.2456347644329071,0.24005822837352753,0.22868162393569946,0.21697628498077393,0.2102765142917633,0.2067112922668457,0.20049530267715454
stranger,strange_5,GP,0.5829062461853027,0.17990043759346008,0.15318350493907928,0.13675321638584137,0.12887753546237946,0.12273342162370682,0.11769924312829971,0.11473865061998367,0.11246460676193237,0.11065661907196045,0.10933904349803925
stranger,strange_5,spec-D,0.5367634892463684,0.180421844124794,0.150687575340271,0.13323518633842468,0.12425949424505234,0.11803014576435089,0.11352390795946121,0.11089445650577545,0.10865701735019684,0.10707174241542816,0.1057734340429306
